id,value
16407,98720.70576744466
16408,92107.21374797793
16409,88861.37065873288
16410,96222.23256170159
16411,97935.55819686894
16412,99233.55506206657
16413,100066.93075652044
16414,99631.62476843249
16415,92528.72767417147
16416,89019.9032829082
16417,97663.02241548996
16418,99941.72681905534
16419,100559.40977556427
16420,101160.95167769886
16421,100458.83699349378
16422,92754.18511454115
16423,88126.52052054569
16424,96077.64720226135
16425,97253.95021321089
16426,97154.92113741647
16427,97059.96457031157
16428,95744.77784420548
16429,88516.61333382485
16430,84053.66389468091
16431,92785.46426755333
16432,94051.36526857996
16433,94116.87042156083
16434,94059.0335774686
16435,93029.56374687211
16436,85259.12914487172
16437,81100.96800273337
16438,89584.40503204719
16439,90951.29485845781
16440,91051.20259737306
16441,92046.4410607626
16442,91872.03081125731
16443,84598.23009155352
16444,81139.25217317988
16445,89648.25709701548
16446,90265.74112269329
16447,90550.39121474886
16448,91917.52364492444
16449,91705.94045251718
16450,83974.38382412752
16451,80909.41650684575
16452,89635.02376642355
16453,90635.52163545082
16454,90262.1078272706
16455,91760.79943748051
16456,91155.09299379442
16457,83696.56050231839
16458,79739.59531915607
16459,87104.10285278733
16460,87697.26145055475
16461,87195.52723914263
16462,86997.84125369783
16463,85275.50654681896
16464,78067.40346630978
16465,73829.40427277802
16466,81724.98484754865
16467,83879.92684503671
16468,85089.93435360384
16469,85207.75986816817
16470,83978.76736433445
16471,77321.2203853022
16472,73833.20872644341
16473,82159.03310954195
16474,84074.62066495256
16475,84534.76844409503
16476,85037.68590705644
16477,84093.04715382919
16478,76935.43983877759
16479,73359.77425117734
16480,81530.59202997547
16481,83144.67115074559
16482,83837.2875641133
16483,84986.80502343072
16484,84200.74321230096
16485,77338.97489953661
16486,73960.25908593548
16487,82401.15542315561
16488,83713.38405229698
16489,84013.97281972096
16490,84418.56326197443
16491,83099.3385305361
16492,75541.99964419387
16493,72262.13722727464
16494,80755.33210075676
16495,82316.18383814555
16496,82379.15446147531
16497,83502.74529706819
16498,83192.88756846025
16499,76082.18815050584
16500,72343.30824796719
16501,80676.94760049751
16502,82098.53739584063
16503,82634.93555220691
16504,83759.38139207676
16505,83495.14278700824
16506,76791.70930503187
16507,73463.48907573588
16508,82711.69608134282
16509,83962.72839763084
16510,84285.85515404619
16511,85550.91547967533
16512,84793.02116770465
16513,77789.07007349368
16514,73862.92680308818
16515,83004.68777959511
16516,84760.31547059142
16517,85826.93034408953
16518,87025.76729931845
16519,86238.02554044731
16520,79060.51622890803
16521,75155.4895572673
16522,83549.95694214187
16523,85436.19443692858
16524,86181.51186886212
16525,86532.35410411248
16526,85218.68009993329
16527,78155.26217181282
16528,74900.47067272429
16529,83508.0477855987
16530,85454.46165051433
16531,86087.92308860301
16532,87421.01033223298
16533,86863.97405642529
16534,79886.86200075073
16535,76705.9131234749
16536,85610.9080147313
16537,87363.04692730634
16538,87485.98646235866
16539,88476.87108192008
16540,87577.28194970336
16541,80325.4848996655
16542,76486.62068109875
16543,84767.967560485
16544,85974.35453506708
16545,86192.90817202392
16546,87156.02961895417
16547,86071.65624061099
16548,79471.02778083493
16549,76406.08792912913
16550,85652.61124432828
16551,87266.53066758855
16552,87970.39310713913
16553,88976.91746691026
16554,87894.82695565606
16555,81284.48443967532
16556,78129.13240643704
16557,86901.45739985988
16558,88483.16565349707
16559,89305.12428354955
16560,91175.32439223141
16561,90570.56690170307
16562,83597.46924998052
16563,80075.52841533977
16564,88996.38544112834
16565,90626.68401962401
16566,90747.9252514901
16567,92068.38307770742
16568,91375.92351505044
16569,84123.64064507952
16570,81007.92668683777
16571,90156.93508919596
16572,92199.91761730448
16573,92758.37934779079
16574,94265.88274738324
16575,94113.91008980418
16576,87388.78961810877
16577,84036.46478493128
16578,92302.01346432383
16579,93940.71713306711
16580,94194.7644468309
16581,94809.53897354116
16582,94221.81672453621
16583,88083.87872932536
16584,85613.51204526488
16585,94274.15121631368
16586,96203.76407063438
16587,96443.05097773022
16588,97140.93572978431
16589,96189.40711478333
16590,89623.23990916605
16591,86651.52945484522
16592,95537.46641376877
16593,97604.36278513217
16594,98614.87812413744
16595,99735.45530514809
16596,98892.84492342832
16597,91928.94821297293
16598,88844.61216349898
16599,98023.32034326415
16600,99701.58656487215
16601,100056.85468042445
16602,100855.24442950502
16603,100254.04285868857
